Lemma,POS,feminine,neuter
ἀγαπητός,adj,ἀγαπητή,
ἀγενής,adj,,ἀγενές
ἄγναφος,adj,,ἄγναφον
ἁγνός,adj,,ἁγνόν
ἄδηλος,adj,,ἄδηλον
Ἀδραμυττηνός,adj,,Ἀδραμυττηνόν
ἄζυμος,adj,,ἄζυμον
αἴγειος,adj,,αἴγειον
ἄκαρπος,adj,,ἄκαρπον
ἀλλήλων,reflexive pronoun,,ἀλλήλων
ἀλλότριος,adj,ἀλλοτρία,ἀλλότριον
ἀμεταμέλητος,adj,,ἀμεταμέλητον
ἄμετρος,adj,,ἄμετρον
ἀμφότερος,adj,,ἀμφότερον
ἄμωμος,adj,,ἄμωμον
ἀναγκαῖος,adj,ἀναγκαία,
ἀναντίρρητος,adj,,ἀναντίρρητον
ἀνεξεραύνητος,adj,,ἀνεξεραύνητον
ἀνθρώπινος,adj,ἀνθρωπίνη,
ἄνομος,adj,,ἄνομον
ἀνωτερικός,adj,,ἀνωτερικόν
ἀόρατος,adj,,ἀόρατον
ἅπας,adj,ἅπασα,
ἄργυρος,adj,,ἄργυρον
ἀριστερός,adj,,ἀριστερόν
ἄρρητος,adj,,ἄρρητον
ἀρτιγέννητος,adj,,ἀρτιγέννητον
ἀρχαῖος,adj,ἀρχαία,ἀρχαῖον
ἀρχιερατικός,adj,,ἀρχιερατικόν
ἀσύνετος,adj,,ἀσύνετον
ἀσχήμων,adj,,ἀσχήμον
ἄτιμος,adj,,ἄτιμον
ἄτομος,adj,,ἄτομον
ἄψυχος,adj,,ἄψυχον
βαρύς,adj,,βαρύ
βαρύτιμος,adj,,βαρύτιμον
βασιλικός,adj,βασιλική,
βίαιος,adj,βιαία,
βιωτικός,adj,βιωτική,βιωτικόν
βλάσφημος,adj,,βλάσφημον
Γαλατικός,adj,Γαλατική,
γυμνός,adj,γυμνή,γυμνόν
γυναικεῖος,adj,,γυναικεῖον
δεκατέσσαρες,adj,,δεκατέσσαρες
δεκτός,adj,δεκτή,
δερμάτινος,adj,δερματίνη,
δημόσιος,adj,δημοσία,
διακόσιοι,adj,διακόσιαι,διακόσια
διοπετής,adj,,διοπετές
δοῦλος,adj,,δοῦλον
δύο,adj,δύο,
δυσβάστακτος,adj,,δυσβάστακτον
δυσνόητος,adj,,δυσνόητον
ἑαυτοῦ,reflexive pronoun,ἑαυτῆς,ἑαυτοῦ
ἕβδομος,adj,ἑβδόμη,
ἑκατονταπλασίων,adj,,ἑκατονταπλασίον
ἔκγονος,adj,,ἔκγονον
ἔκθετος,adj,,ἔκθετον
ἐκλεκτός,adj,ἐκλεκτή,
Ἑλληνικός,adj,Ἑλληνική,
ἐνάλιος,adj,,ἐνάλιον
ἐναντίος,adj,ἐναντία,
ἔνατος,adj,ἐνάτη,
ἑνδέκατος,adj,ἑνδεκάτη,
ἔνδοξος,adj,,ἔνδοξον
ἔννυχος,adj,,ἔννυχον
ἐπίγειος,adj,,ἐπίγειον
ἐπιτήδειος,adj,,ἐπιτήδειον
ἐπουράνιος,adj,,ἐπουράνιον
ἐρυθρός,adj,ἐρυθρά,
ἔσω,adj,ἔσω,
ἕτοιμος,adj,ἑτοίμη,
εὔφημος,adj,,εὔφημον
εὐώνυμος,adj,,εὐώνυμον
ἡδύς,adj,,ἡδύ
ἡλίκος,interrogative pronoun,ἡλίκη,
ἡσύχιος,adj,,ἡσύχιον
θαυμάσιος,adj,,θαυμάσιον
θεῖος,adj,θεία,
θνητός,adj,θνητή,
ἴδιος,adj,ἰδία,
ἱερός,adj,,ἱερόν
ἱκανός,adj,ἱκανά,
ἱππικός,adj,,ἱππικόν
ἴσος,adj,,ἴσον
Ἰταλικός,adj,Ἰταλική,
Ἰτουραῖος,adj,Ἰτουραία,
καθημερινός,adj,καθημερινή,
κακός,adj,κακή,
καλός,adj,καλή,
κατώτερος,adj,,κατώτερον
κεραμικός,adj,,κεραμικόν
κοινός,adj,κοινή,
κόκκινος,adj,κοκκίνη,
κοσμικός,adj,κοσμική,
